Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A788445,,02/02/2019 02:25:00 PM,02/02/2019 02:25:00 PM,4905 Lambs Lane in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Scottish Terrier Mix,Black
A824076,Duchess,10/05/2020 05:28:00 PM,10/05/2020 05:28:00 PM,Manor (TX),Owner Surrender,Injured,Dog,Intact Female,5 years,Pit Bull,Fawn/White
A673869,Sweetie Pie,03/03/2014 06:29:00 PM,03/03/2014 06:29:00 PM,6100 Devonshire  Ct in Austin (TX),Stray,Normal,Dog,Intact Female,7 months,Australian Shepherd Mix,White/Black
A824395,Pearl,10/13/2020 04:01:00 PM,10/13/2020 04:01:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Cardigan Welsh Corgi/Labrador Retriever,Chocolate/White
A777370,*Squiggle,07/27/2018 04:13:00 PM,07/27/2018 04:13:00 PM,Manor (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black/White
A791801,Abby,05/07/2019 05:26:00 PM,05/07/2019 05:26:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue/White
A666975,Mittens,11/10/2013 02:37:00 PM,11/10/2013 02:37:00 PM,Travis (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Orange Tabby
A715085,Sammy,10/31/2015 12:04:00 PM,10/31/2015 12:04:00 PM,Galewood Dr And Colony Creek Dr in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,Labrador Retriever Mix,Tan/White
A727510,*Finley,05/22/2016 05:05:00 PM,05/22/2016 05:05:00 PM,Finley Dr And Hancock St in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pointer Mix,Black/Brown
A579856,Link,10/11/2017 03:21:00 PM,10/11/2017 03:21:00 PM,Banister Road And Southport Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,8 years,Chihuahua Shorthair,Tan
