Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A786884,*Brock,01/03/2019 04:19:00 PM,01/03/2019 04:19:00 PM,2501 Magin Meadow Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Beagle Mix,Tricolor
A706918,Belle,07/05/2015 12:59:00 PM,07/05/2015 12:59:00 PM,9409 Bluegrass Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,English Springer Spaniel,White/Liver
A724273,Runster,04/14/2016 06:43:00 PM,04/14/2016 06:43:00 PM,2818 Palomino Trail in Austin (TX),Stray,Normal,Dog,Intact Male,11 months,Basenji Mix,Sable/White
A665644,,10/21/2013 07:59:00 AM,10/21/2013 07:59:00 AM,Austin (TX),Stray,Sick,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A682524,Rio,06/29/2014 10:38:00 AM,06/29/2014 10:38:00 AM,800 Grove Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Doberman Pinsch/Australian Cattle Dog,Tan/Gray
A743852,Odin,02/18/2017 12:46:00 PM,02/18/2017 12:46:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate
A635072,Beowulf,04/16/2019 09:53:00 AM,04/16/2019 09:53:00 AM,415 East Mary Street in Austin (TX),Public Assist,Normal,Dog,Neutered Male,6 years,Great Dane Mix,Black
A708452,Mumble,07/30/2015 02:37:00 PM,07/30/2015 02:37:00 PM,Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black/White
A818975,,06/18/2020 02:53:00 PM,06/18/2020 02:53:00 PM,Braker Lane And Metric in Travis (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Cream Tabby
A774147,,06/11/2018 07:45:00 AM,06/11/2018 07:45:00 AM,6600 Elm Creek in Austin (TX),Stray,Injured,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White
A731435,*Casey,08/08/2016 05:52:00 PM,08/08/2016 05:52:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Cream Tabby
A760053,,10/11/2017 03:46:00 PM,10/11/2017 03:46:00 PM,8800 South First Street in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair,White/Tan
A707375,*Candy Cane,07/11/2015 06:19:00 PM,07/11/2015 06:19:00 PM,Galilee Court And Damita Jo Dr in Manor (TX),Stray,Normal,Dog,Intact Female,5 months,Pit Bull,Brown/White
A696408,*Pearl,02/04/2015 12:58:00 PM,02/04/2015 12:58:00 PM,9705 Thaxton in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair,Tricolor
A790209,Ziggy,03/06/2019 02:31:00 PM,03/06/2019 02:31:00 PM,4424 S Mopac Expwy in Austin (TX),Public Assist,Normal,Cat,Intact Female,4 years,Domestic Shorthair Mix,Brown Tabby/White
A743114,,02/04/2017 10:10:00 AM,02/04/2017 10:10:00 AM,208 Beaver St in Austin (TX),Stray,Injured,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White
A657188,Tommy,11/10/2013 05:19:00 PM,11/10/2013 05:19:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,14 years,Domestic Shorthair Mix,Brown Tabby/White
A783861,Tulip,11/07/2018 03:53:00 PM,11/07/2018 03:53:00 PM,3110 Guadalupe Street in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A707658,*Mint,07/15/2015 05:43:00 PM,07/15/2015 05:43:00 PM,6118 Fairway in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White
A736287,*Twilight,10/08/2016 11:53:00 AM,10/08/2016 11:53:00 AM,South First And Stassney in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A697950,,03/04/2015 11:22:00 AM,03/04/2015 11:22:00 AM,1501 S Fm 973 in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Australian Cattle Dog/Labrador Retriever,Tan/White
A298074,Stumpy,09/06/2015 02:21:00 PM,09/06/2015 02:21:00 PM,1801 Westridge in Austin (TX),Stray,Normal,Dog,Spayed Female,18 years,Parson Russell Terrier Mix,Black/White
A754715,Rheia,07/29/2019 05:19:00 PM,07/29/2019 05:19:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
A810994,,12/25/2019 12:05:00 AM,12/25/2019 12:05:00 AM,7900 Rm 1826 Rd in Travis (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown
A769764,,04/09/2018 07:03:00 PM,04/09/2018 07:03:00 PM,7500 South Interstate 35 in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Yorkshire Terrier Mix,White/Black
A707974,*Cleopatra,07/20/2015 06:13:00 PM,07/20/2015 06:13:00 PM,2307 Ventura in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue
A682230,,06/25/2014 04:27:00 PM,06/25/2014 04:27:00 PM,3737 Keats Dr in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Maltese Mix,White
A749436,,05/15/2017 09:50:00 AM,05/15/2017 09:50:00 AM,East Pleasant Valley And Stassney in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Dachshund Mix,Brown/White
A722979,,03/24/2016 04:39:00 PM,03/24/2016 04:39:00 PM,4100 Westbank Dr in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown
A803723,,09/05/2019 12:00:00 PM,09/05/2019 12:00:00 PM,10508 Twilight Vista in Austin (TX),Stray,Normal,Cat,Unknown,6 months,Domestic Shorthair,Black/White
A696205,Roo,02/12/2015 11:57:00 AM,02/12/2015 11:57:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black
A759935,Dieve,10/09/2017 10:39:00 PM,10/09/2017 10:39:00 PM,4800 Cottonwood St in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black
A666877,*Romeo,11/08/2013 03:24:00 PM,11/08/2013 03:24:00 PM,Guadalupe/St. Johns in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Dachshund Mix,Tan/White
A794334,Pearl,09/02/2019 11:52:00 AM,09/02/2019 11:52:00 AM,Outside Jurisdiction,Owner Surrender,Sick,Dog,Spayed Female,3 years,Boxer Mix,White
A706507,,06/29/2015 05:04:00 PM,06/29/2015 05:04:00 PM,5306  Peppertree in Austin (TX),Stray,Normal,Cat,Unknown,4 days,Domestic Shorthair Mix,Black
A732903,*Raven,08/14/2016 03:02:00 PM,08/14/2016 03:02:00 PM,Austin (TX),Stray,Injured,Dog,Intact Female,2 months,Labrador Retriever Mix,Black/White
A789526,Sixlet,02/23/2019 11:22:00 AM,02/23/2019 11:22:00 AM,2504 Stratford Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A749400,*Pepper,05/14/2017 02:19:00 PM,05/14/2017 02:19:00 PM,1834 Ferguson in Austin (TX),Stray,Normal,Cat,Intact Female,1 day,Domestic Shorthair Mix,Blue
A727838,,05/26/2016 02:01:00 PM,05/26/2016 02:01:00 PM,2504 Huntwick Dr in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
A821389,*Dim Sum,08/10/2020 02:10:00 PM,08/10/2020 02:10:00 PM,7800 San Felipe Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby
A769816,*Wallace,04/10/2018 04:46:00 PM,04/10/2018 04:46:00 PM,17833 Basket Flower Bend in Travis (TX),Stray,Normal,Dog,Intact Male,5 years,Plott Hound Mix,Brown Brindle/White
A701811,,05/05/2015 07:29:00 AM,05/05/2015 07:29:00 AM,4434 Frontier Trl in Austin (TX),Stray,Nursing,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Gray Tabby
A812244,,01/18/2020 02:14:00 PM,01/18/2020 02:14:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Labrador Retriever,Tan
A700396,Calseta,12/07/2015 09:11:00 AM,12/07/2015 09:11:00 AM,4200 Smith School Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
A724378,Boxer,04/16/2016 01:36:00 PM,04/16/2016 01:36:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 years,Tibetan Spaniel Mix,Black/White
A702701,Pepper,05/16/2015 06:38:00 PM,05/16/2015 06:38:00 PM,Mcneil Drive & Burnet Road in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Miniature Pinscher Mix,Chocolate/Brown
A759995,,10/11/2017 11:48:00 AM,10/11/2017 11:48:00 AM,1709 East 38Th Street in Austin (TX),Stray,Normal,Cat,Unknown,4 months,Domestic Shorthair Mix,Brown Tabby
A702931,Henry,05/19/2015 01:23:00 PM,05/19/2015 01:23:00 PM,Austin (TX),Euthanasia Request,Aged,Other,Unknown,2 years,Hamster Mix,White/Gray
A745133,*Magic,03/13/2017 12:50:00 PM,03/13/2017 12:50:00 PM,11699 James B Connolly Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
A747817,Annie,04/25/2017 12:02:00 PM,04/25/2017 12:02:00 PM,1328 Lamar Square Dr in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
A772747,Lamar,01/07/2019 01:41:00 PM,01/07/2019 01:41:00 PM,Thaxton And Sassman in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Pit Bull/Australian Cattle Dog,White
A736501,Travis,10/11/2016 04:43:00 PM,10/11/2016 04:43:00 PM,Austin (TX),Owner Surrender,Sick,Cat,Neutered Male,15 years,Domestic Shorthair Mix,Black
A755102,Talesin,07/29/2017 11:49:00 AM,07/29/2017 11:49:00 AM,18120 River Timber Drive in Travis (TX),Stray,Normal,Cat,Spayed Female,8 years,Domestic Longhair Mix,Torbie
A699608,,03/30/2015 03:23:00 PM,03/30/2015 03:23:00 PM,1054 Springdale Rd #108 in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A810820,,12/21/2019 11:09:00 AM,12/21/2019 11:09:00 AM,20209 Grover Cleaveland Way in Manor (TX),Stray,Normal,Dog,Spayed Female,7 years,Yorkshire Terrier,Black/Gray
A714578,*Dillon,10/25/2015 12:59:00 PM,10/25/2015 12:59:00 PM,8220 W Hwy 71 in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
A793043,,04/18/2019 04:06:00 PM,04/18/2019 04:06:00 PM,127 West Anderson Lane in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
A721791,,03/04/2016 02:18:00 PM,03/04/2016 02:18:00 PM,12928 Ceder in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Dachshund/Chihuahua Shorthair,Brown Merle
A754145,Petria,07/16/2017 01:17:00 PM,07/16/2017 01:17:00 PM,502 Chihuahua Trl in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black
A713887,*Alexander,10/14/2015 03:57:00 PM,10/14/2015 03:57:00 PM,5055 Hwy 71 E in Del Valle (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
A678059,,05/03/2014 12:33:00 PM,05/03/2014 12:33:00 PM,1104 Durham Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Longhair Mix,Brown Tabby
A758165,Banjo Joey,09/12/2017 10:58:00 AM,09/12/2017 10:58:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,American Shorthair Mix,White/Blue
A675555,Guardian,04/04/2015 11:09:00 AM,04/04/2015 11:09:00 AM,Loyola And Sandshof in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,German Shepherd/Chow Chow,Sable/Tan
A747964,,04/27/2017 01:23:00 PM,04/27/2017 01:23:00 PM,15207 Tacon Ln in Pflugerville (TX),Stray,Normal,Dog,Intact Male,6 years,Miniature Schnauzer Mix,White/Gray
A678830,,05/13/2014 12:47:00 PM,05/13/2014 12:47:00 PM,8515 S Ih 35 in Austin (TX),Stray,Normal,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black
A698165,,03/06/2015 06:48:00 PM,03/06/2015 06:48:00 PM,201 San Jacinto Blvd in Austin (TX),Wildlife,Normal,Other,Unknown,4 weeks,Bat,Brown/Black
A813757,,02/18/2020 12:26:00 PM,02/18/2020 12:26:00 PM,Colonial Park And Weidemar in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,German Shepherd/Australian Cattle Dog,Black/Tricolor
A793707,Severus,04/28/2019 04:54:00 PM,04/28/2019 04:54:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Black
A777099,*Tegan,07/23/2018 02:06:00 PM,07/23/2018 02:06:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Torbie
A760116,Jasmine,01/07/2019 12:07:00 PM,01/07/2019 12:07:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,7 years,German Shepherd,Brown/Black
A800456,Samson,07/21/2019 02:19:00 PM,07/21/2019 02:19:00 PM,14229 Gilford Drive in Travis (TX),Stray,Normal,Dog,Neutered Male,1 year,Great Dane,Black/Brown Brindle
A779334,,08/30/2018 11:21:00 AM,08/30/2018 11:21:00 AM,5004 Heflin Ln in Austin (TX),Wildlife,Injured,Other,Unknown,2 years,Raccoon,Gray/Black
A704806,,06/09/2015 11:34:00 AM,06/09/2015 11:34:00 AM,5801 W Us Hwy 290 Service Rd in Austin (TX),Stray,Normal,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A696174,Clancy,01/30/2015 04:08:00 PM,01/30/2015 04:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Brown Tabby
A740284,*Wella,12/14/2016 01:41:00 PM,12/14/2016 01:41:00 PM,25212 Lakeview Dr in Travis (TX),Stray,Normal,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
A774099,Chloe,07/30/2018 02:50:00 PM,07/30/2018 02:50:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Australian Kelpie Mix,Black/White
A767767,*Valerie,03/06/2018 02:07:00 PM,03/06/2018 02:07:00 PM,11204 Liberty Farms Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Yellow
A803768,Kylo,11/15/2019 06:35:00 PM,11/15/2019 06:35:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Alaskan Husky,Brown
A770916,Oso,04/27/2018 11:43:00 AM,04/27/2018 11:43:00 AM,10195 Thistle Ridge in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Great Pyrenees Mix,White/Cream
A749544,,05/16/2017 11:57:00 AM,05/16/2017 11:57:00 AM,5400 Freidrich Ln in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Cream Tabby/White
A770587,*Rider,04/22/2018 11:27:00 AM,04/22/2018 11:27:00 AM,14620 North Interstate 35 in Austin (TX),Stray,Normal,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Brown Tabby
A733559,*Guacamole,08/23/2016 04:58:00 PM,08/23/2016 04:58:00 PM,7001 South Congress Avenue in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
A722856,Chico,05/05/2016 03:24:00 PM,05/05/2016 03:24:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,Labrador Retriever Mix,White/Black
A689054,Chappie,09/28/2014 03:47:00 PM,09/28/2014 03:47:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,6 months,Domestic Shorthair Mix,White/Black
A710890,The Dude,08/29/2015 01:15:00 PM,08/29/2015 01:15:00 PM,14901 Mossycup Ln in Travis (TX),Stray,Normal,Dog,Intact Male,3 years,Great Pyrenees Mix,White
A683884,Blackie,07/16/2014 03:52:00 PM,07/16/2014 03:52:00 PM,7619 E Ben White Blvd in Austin (TX),Stray,Injured,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Tan
A714487,,10/23/2015 05:31:00 PM,10/23/2015 05:31:00 PM,Loyola And Sendero Hills in Austin (TX),Stray,Normal,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue/White
A724359,*Hercules,04/16/2016 10:59:00 AM,04/16/2016 10:59:00 AM,Research And Anderson Square in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Feist/Beagle,Black/Brown
A678965,,05/14/2014 03:04:00 PM,05/14/2014 03:04:00 PM,Melwood Dr & Tiner Trail in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A719013,,01/11/2016 11:29:00 AM,01/11/2016 11:29:00 AM,1105 Wayside Dr in Austin (TX),Wildlife,Injured,Bird,Unknown,2 years,Hawk,Brown/Yellow
A668295,,12/01/2013 02:38:00 PM,12/01/2013 02:38:00 PM,Shreveport Dr And Odie Ln in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White
A676263,*Stanley,04/07/2014 11:57:00 AM,04/07/2014 11:57:00 AM,Elfen Way in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A678439,,05/09/2014 09:05:00 AM,05/09/2014 09:05:00 AM,W. 8Th St. in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Raccoon Mix,Gray/Black
A736719,Dreamer,10/16/2016 10:37:00 AM,10/16/2016 10:37:00 AM,2115 Campfield Pkwy in Austin (TX),Stray,Normal,Dog,Spayed Female,12 years,Labrador Retriever Mix,Tan/White
A791540,*Milkbone,03/27/2019 11:36:00 AM,03/27/2019 11:36:00 AM,Martin Luther King Boulevard E And Sendero Hills Parkway in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Pit Bull Mix,White/Black
A770028,*Ladybird,04/14/2018 12:50:00 PM,04/14/2018 12:50:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,6 months,American Pit Bull Terrier Mix,White/Brown
A611226,Leon,03/20/2015 02:09:00 PM,03/20/2015 02:09:00 PM,4703 Nuckols Crossing in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Norfolk Terrier Mix,Brown
A750451,Pancake,05/27/2017 01:16:00 PM,05/27/2017 01:16:00 PM,14701 Burns in Travis (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Cream/White
A707943,London,07/20/2015 02:46:00 PM,07/20/2015 02:46:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Rottweiler Mix,Black/Tan
A791850,,04/02/2019 07:16:00 AM,04/02/2019 07:16:00 AM,4434 Frontier Trail in Austin (TX),Stray,Injured,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby
A696333,,02/03/2015 10:19:00 AM,02/03/2015 10:19:00 AM,2201 Montopolis in Austin (TX),Stray,Normal,Dog,Unknown,1 week,Chihuahua Shorthair Mix,Brown/White
A804055,,11/03/2019 04:14:00 PM,11/03/2019 04:14:00 PM,6400 Huntleigh Way in Austin (TX),Stray,Injured,Cat,Spayed Female,9 months,Domestic Shorthair,Calico
A695485,,01/16/2015 04:11:00 PM,01/16/2015 04:11:00 PM,12120 Manchaca Rd in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown
A737007,*Cinnamon,10/20/2016 04:47:00 PM,10/20/2016 04:47:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Medium Hair,Brown Tabby/White
A775126,Heidi,06/25/2018 11:12:00 AM,06/25/2018 11:12:00 AM,Bittercreek And Bluff Springs in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Tan/White
A687298,*Lila,10/07/2014 12:22:00 PM,10/07/2014 12:22:00 PM,4715 S Congress in Austin (TX),Public Assist,Normal,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Cream
A729943,*Doug,06/25/2016 11:09:00 PM,06/25/2016 11:09:00 PM,2808 Harpers Ferry in Austin (TX),Stray,Sick,Cat,Intact Male,10 years,Domestic Shorthair Mix,Blue Tabby
A795850,Kai,05/25/2019 12:14:00 PM,05/25/2019 12:14:00 PM,4806 Lyons Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A738202,,11/10/2016 06:16:00 PM,11/10/2016 06:16:00 PM,845 N Meadows Dr in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Medium Hair Mix,Black/White
A776422,,07/13/2018 02:23:00 PM,07/13/2018 02:23:00 PM,2763 Citation Drive in Del Valle (TX),Stray,Normal,Cat,Intact Female,10 months,Domestic Shorthair Mix,Black
A800717,,07/25/2019 01:49:00 PM,07/25/2019 01:49:00 PM,11900 Green Crove in Austin (TX),Stray,Nursing,Cat,Intact Female,1 week,Domestic Shorthair,Blue/White
A707779,Roo,07/17/2015 03:57:00 PM,07/17/2015 03:57:00 PM,13425 Coomes Dr in Del Valle (TX),Stray,Normal,Dog,Spayed Female,7 months,Chihuahua Shorthair/Jack Russell Terrier,Tricolor
A675067,Ash,03/22/2014 02:24:00 PM,03/22/2014 02:24:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,9 years,Italian Greyhound Mix,Gray
A778103,,08/08/2018 04:20:00 PM,08/08/2018 04:20:00 PM,3522 East Martin Luther King Junior Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A778601,Pumpkin,08/17/2018 01:28:00 PM,08/17/2018 01:28:00 PM,1416 Montopolis Drive in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A777656,,08/01/2018 11:04:00 AM,08/01/2018 11:04:00 AM,1515 Royal Crest Drive in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
A789406,Liliana,02/21/2019 02:55:00 PM,02/21/2019 02:55:00 PM,Austin (TX),Public Assist,Normal,Cat,Intact Female,3 years,Domestic Shorthair Mix,Brown Tabby
A816185,,04/09/2020 07:49:00 AM,04/09/2020 07:49:00 AM,1830 W Rundberg in Austin (TX),Stray,Normal,Cat,Intact Male,1 week,Domestic Shorthair,Gray Tabby
A787448,Watermelon,04/01/2019 11:30:00 AM,04/01/2019 11:30:00 AM,12900 Dessau in Travis (TX),Stray,Normal,Dog,Intact Female,3 years,Labrador Retriever Mix,Brown Tiger/White
A793946,,05/02/2019 08:21:00 AM,05/02/2019 08:21:00 AM,Astro View / Moonglow in Austin (TX),Stray,Nursing,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby
A687805,,09/10/2014 12:39:00 PM,09/10/2014 12:39:00 PM,8000 Topanga Ln in Austin (TX),Stray,Injured,Other,Unknown,1 year,Rabbit Sh Mix,White/Black
A780860,*Skye,09/21/2018 11:29:00 AM,09/21/2018 11:29:00 AM,West Sixth Street And Guadalupe Street in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Black
A722000,,03/09/2016 07:28:00 AM,03/09/2016 07:28:00 AM,8126 Elroy in Del Valle (TX),Stray,Injured,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
A724640,,04/20/2016 08:19:00 AM,04/20/2016 08:19:00 AM,10636 Marshitahs in Austin (TX),Stray,Nursing,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/Black
A729026,*Simon,10/11/2016 06:02:00 PM,10/11/2016 06:02:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby/White
A729521,,06/19/2016 04:13:00 PM,06/19/2016 04:13:00 PM,7200 Twisted Oaks in Austin (TX),Stray,Sick,Cat,Unknown,6 years,Domestic Shorthair Mix,Black
A818382,Cookie,06/08/2020 08:35:00 AM,06/08/2020 08:35:00 AM,4434 Frontier Trail in Austin (TX),Owner Surrender,Sick,Dog,Intact Male,1 month,Boxer,Brown/Black
A808587,Rocket,03/19/2020 12:24:00 PM,03/19/2020 12:24:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Staffordshire/English Bulldog,Blue/White
A731789,,07/27/2016 03:06:00 PM,07/27/2016 03:06:00 PM,5630 Wagon Train Rd in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black
A689446,*Dizzy,10/04/2014 11:29:00 AM,10/04/2014 11:29:00 AM,9520 Quail Ct in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White
A699128,,03/23/2015 10:49:00 AM,03/23/2015 10:49:00 AM,2317 S.Pleasant Valley in Austin (TX),Stray,Injured,Cat,Intact Female,3 years,Domestic Shorthair Mix,Brown Tabby
A744010,Axle,03/02/2017 09:51:00 AM,03/02/2017 09:51:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,Bull Terrier Mix,Black/White
A796145,*Charlie,05/29/2019 03:06:00 PM,05/29/2019 03:06:00 PM,Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Black
A812121,,01/16/2020 12:08:00 PM,01/16/2020 12:08:00 PM,1712 Morrow Street in Austin (TX),Stray,Normal,Cat,Neutered Male,14 years,Domestic Longhair,Black/White
A709360,,08/07/2015 10:41:00 PM,08/07/2015 10:41:00 PM,9900 Mcneil Dr in Austin (TX),Wildlife,Normal,Other,Unknown,4 weeks,Bat,Black/Brown
A688747,,09/23/2014 11:29:00 AM,09/23/2014 11:29:00 AM,Jean Dr And Grady Dr E in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A812020,Delgado,01/28/2020 12:59:00 PM,01/28/2020 12:59:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,2 years,Australian Shepherd/Chow Chow,Brown/Black
A806727,,10/14/2019 06:16:00 PM,10/14/2019 06:16:00 PM,183 And Payton Gin in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Longhair Mix,Chocolate/White
A739423,Duckie,12/02/2016 04:30:00 PM,12/02/2016 04:30:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Torbie
A807675,*Fija,10/28/2019 12:11:00 PM,10/28/2019 12:11:00 PM,Fort Branch Boulevard in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Black Mouth Cur/Pit Bull,Tan/Black
A799428,,07/08/2019 02:57:00 PM,07/08/2019 02:57:00 PM,Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Tan/White
A748160,Applez,04/30/2017 11:04:00 AM,04/30/2017 11:04:00 AM,704 Cuernavaca Dr N in Austin (TX),Stray,Normal,Dog,Spayed Female,14 years,Labrador Retriever Mix,Black/White
A790617,*Margarita,03/13/2019 12:10:00 PM,03/13/2019 12:10:00 PM,1200 East 52Nd Street in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
